T (K),Cp (pF),D
290.15,6.7E-12,0.009
280.15,6.9E-12,0.007
270.15,7.2E-12,0.008
260.15,7.5E-12,0.008
250.15,7.9E-12,0.007
240.15,8.3E-12,0.007
230.15,8.8E-12,0.007
220.15,9.3E-12,0.008
210.15,1E-11,0.006
200.15,1.09E-11,0.007
190.15,1.2E-11,0.005
180.15,1.34E-11,0.004
170.15,1.57E-11,0.004
169.15,1.6E-11,0.004
168.15,1.63E-11,0.005
167.15,1.66E-11,0.004
166.15,1.69E-11,0.004
165.15,1.72E-11,0.005
164.15,1.76E-11,0.005
163.15,1.79E-11,0.005
162.15,1.83E-11,0.005
161.15,1.87E-11,0.005
160.15,1.89E-11,0.004
159.15,1.92E-11,0.004
158.15,1.98E-11,0.004
157.15,2.02E-11,0.004
156.15,2.08E-11,0.004
150.15,2.14E-11,0.004
149.15,2.2E-11,0.004
148.15,2.28E-11,0.004
147.15,2.34E-11,0.004
146.15,2.42E-11,0.004
145.15,2.51E-11,0.004
144.15,2.55E-11,0.004
143.15,2.62E-11,0.004
140.15,2.69E-11,0.004
137.15,2.8E-11,0.004
135.15,3.13E-11,0.004
134.15,3.24E-11,0.004
133.15,3.4E-11,0.004
132.15,3.58E-11,0.004
131.15,3.75E-11,0.004
130.15,4.01E-11,0.004
129.15,4.33E-11,0.004
128.15,4.66E-11,0.004
127.15,5.08E-11,0.004
126.15,5.61E-11,0.004
125.15,6.22E-11,0.004
124.15,6.46E-11,0.004
123.15,6.73E-11,0.004
122.15,7.03E-11,0.004
121.15,7.59E-11,0.004
120.15,8.39E-11,0.004
119.15,9.27E-11,0.004
118.15,1.051E-10,0.004
117.15,1.19E-10,0.005
116.15,1.41E-10,0.005
115.15,1.74E-10,0.006
114.15,2.39E-10,0.008
113.15,3.86E-10,0.012
112.15,4.79E-10,0.016
111.15,4.67E-10,0.017
110.15,4.6E-10,0.017
